trial,family,representation,parameters,silhouette,clusters,coverage,smallest_cluster_share,eligible,seconds,inertia
cluster_00,K-Means,Selected features,"{""n_clusters"": 2}",0.7425631748539372,2,1.0,0.03333333333333333,True,0.07554930000333115,15566.134054995222
cluster_01,K-Means,Selected features,"{""n_clusters"": 3}",0.35980627375998314,3,1.0,0.03333333333333333,True,0.05219309999665711,11678.095960678611
cluster_02,K-Means,Selected features,"{""n_clusters"": 4}",0.3426760803193595,4,1.0,0.03333333333333333,True,0.05080489999818383,8841.675361684507
cluster_03,K-Means,Selected features,"{""n_clusters"": 5}",0.3733594890253592,5,1.0,0.027833333333333335,True,0.05184989999543177,6444.895131524536
cluster_04,K-Means,Selected features,"{""n_clusters"": 6}",0.337150258833026,6,1.0,0.027833333333333335,True,0.06288650000351481,5529.199342188107
cluster_05,DBSCAN,Selected features,"{""eps"": 0.2, ""min_samples"": 10}",0.24290683891617543,6,0.9006666666666666,0.0012953367875647669,False,0.15326950000599027,
cluster_06,DBSCAN,Selected features,"{""eps"": 0.2, ""min_samples"": 30}",,1,0.7961666666666667,1.0,False,0.10876650000136578,
cluster_07,DBSCAN,Selected features,"{""eps"": 0.4, ""min_samples"": 10}",0.5538723757773057,6,0.965,0.0015544041450777201,False,0.18180410000059055,
cluster_08,DBSCAN,Selected features,"{""eps"": 0.4, ""min_samples"": 30}",,1,0.9173333333333333,1.0,False,0.1672210000033374,
cluster_09,DBSCAN,Selected features,"{""eps"": 0.6, ""min_samples"": 10}",0.5599589239430129,4,0.9805,0.0025497195308516064,False,0.24824249999801395,
cluster_10,DBSCAN,Selected features,"{""eps"": 0.6, ""min_samples"": 30}",0.601776995737609,3,0.955,0.0071553228621291445,False,0.23750800000561867,
cluster_11,K-Means,PCA (2),"{""n_clusters"": 2}",0.7425631748539372,2,1.0,0.033166666666666664,True,0.042644100001780316,8170.969800578926
cluster_12,K-Means,PCA (2),"{""n_clusters"": 3}",0.36039297193165976,3,1.0,0.033166666666666664,True,0.03994989999773679,4282.927784086501
cluster_13,K-Means,PCA (2),"{""n_clusters"": 4}",0.3862348733154995,4,1.0,0.0275,True,0.0440292000057525,3219.3497208184167
cluster_14,K-Means,PCA (2),"{""n_clusters"": 5}",0.25892571461277275,5,1.0,0.0275,True,0.045134200001484714,2299.0797054374916
cluster_15,K-Means,PCA (2),"{""n_clusters"": 6}",0.21855621389782523,6,1.0,0.0275,True,0.060429999997722916,1892.9437258923265
cluster_16,DBSCAN,PCA (2),"{""eps"": 0.2, ""min_samples"": 10}",0.4668558862373318,7,0.9616666666666667,0.0025996533795493936,False,0.09365609999804292,
cluster_17,DBSCAN,PCA (2),"{""eps"": 0.2, ""min_samples"": 30}",0.45013248949514817,2,0.917,0.007815339876408579,False,0.08069090000208234,
cluster_18,DBSCAN,PCA (2),"{""eps"": 0.4, ""min_samples"": 10}",0.552411905966585,5,0.986,0.0018593644354293441,False,0.15016530000139028,
cluster_19,DBSCAN,PCA (2),"{""eps"": 0.4, ""min_samples"": 30}",0.6016515526246481,3,0.9713333333333334,0.014756348661633494,True,0.16109129999676952,
cluster_20,DBSCAN,PCA (2),"{""eps"": 0.6, ""min_samples"": 10}",0.5759170641685931,4,0.9926666666666667,0.0028542646071188717,False,0.19052450000162935,
cluster_21,DBSCAN,PCA (2),"{""eps"": 0.6, ""min_samples"": 30}",0.5991523198968467,3,0.9826666666666667,0.02103120759837178,True,0.1930685000043013,
