candidate,validation_start,family,mae,bias
Last week,2017-10-02,Baseline,1.7,-1.025
Four-week mean,2017-10-02,Baseline,1.7750000000000001,-0.9125
Decision tree 1,2017-10-02,Decision tree,1.9532142857142856,-1.0170833333333333
Decision tree 2,2017-10-02,Decision tree,1.8311363636363636,-1.240568181818182
Decision tree 3,2017-10-02,Decision tree,1.8837797619047618,-1.3126488095238096
Decision tree 4,2017-10-02,Decision tree,1.8373863636363634,-1.240568181818182
Decision tree 5,2017-10-02,Decision tree,1.9193750000000003,-1.060625
Decision tree 6,2017-10-02,Decision tree,1.8373863636363634,-1.240568181818182
Random forest 1,2017-10-02,Random forest,1.657390229565606,-1.159395779662813
Random forest 2,2017-10-02,Random forest,1.6621741077662664,-1.1286576533669077
Random forest 3,2017-10-02,Random forest,1.659696641899767,-1.0238889038045287
Random forest 4,2017-10-02,Random forest,1.6637520642288783,-1.128230734719894
Random forest 5,2017-10-02,Random forest,1.6602177499583755,-1.021489265942391
Random forest 6,2017-10-02,Random forest,1.6637520642288783,-1.128230734719894
Last week,2017-11-06,Baseline,3.325,0.4
Four-week mean,2017-11-06,Baseline,2.725,-0.7
Decision tree 1,2017-11-06,Decision tree,2.7061174242424237,-0.721344696969697
Decision tree 2,2017-11-06,Decision tree,2.6391222319347323,-0.5393014277389276
Decision tree 3,2017-11-06,Decision tree,2.831468214756258,-1.28493906455863
Decision tree 4,2017-11-06,Decision tree,2.7050067640692643,-1.1004396645021646
Decision tree 5,2017-11-06,Decision tree,3.0864583333333333,-1.0729166666666667
Decision tree 6,2017-11-06,Decision tree,2.7050067640692643,-1.1004396645021646
Random forest 1,2017-11-06,Random forest,2.6914758020880365,-1.201454493481085
Random forest 2,2017-11-06,Random forest,2.7121487595840486,-1.2424761404758542
Random forest 3,2017-11-06,Random forest,2.755828775262942,-1.1603754236685013
Random forest 4,2017-11-06,Random forest,2.7254171904999884,-1.2427855390316547
Random forest 5,2017-11-06,Random forest,2.753714629248138,-1.1480541847648609
Random forest 6,2017-11-06,Random forest,2.7254171904999884,-1.2427855390316545
Last week,2018-01-01,Baseline,1.6375000000000002,0.0875
Four-week mean,2018-01-01,Baseline,1.3625,0.0125
Decision tree 1,2018-01-01,Decision tree,2.004047619047619,1.0166071428571428
Decision tree 2,2018-01-01,Decision tree,1.859145402232039,0.9107489537316905
Decision tree 3,2018-01-01,Decision tree,1.922788742690059,0.8638852339181285
Decision tree 4,2018-01-01,Decision tree,1.8047594696969695,0.795275883838384
Decision tree 5,2018-01-01,Decision tree,1.6701249999999999,0.21312499999999995
Decision tree 6,2018-01-01,Decision tree,1.8432594696969695,0.7172758838383839
Random forest 1,2018-01-01,Random forest,1.6779511800378852,0.6837937949661368
Random forest 2,2018-01-01,Random forest,1.6143709603014056,0.605268815529987
Random forest 3,2018-01-01,Random forest,1.758176030292246,0.5972856675033263
Random forest 4,2018-01-01,Random forest,1.6347955853763767,0.5586105177450758
Random forest 5,2018-01-01,Random forest,1.782416895142755,0.5943988885853528
Random forest 6,2018-01-01,Random forest,1.6338924538297286,0.5595872941843856
