feature,validation_start,mae_increase,shuffle_std
lag_1,2017-10-02,0.4597314830858961,0.11189148301201127
lag_2,2017-10-02,0.07048589348559926,0.0533979377050173
lag_3,2017-10-02,0.021765137828932236,0.0215105595451159
lag_4,2017-10-02,0.0515619018669989,0.02129073776587255
mean_last_4,2017-10-02,0.5261305422315687,0.1375729033925815
lag_1,2017-11-06,0.24749980473478056,0.09811705357658933
lag_2,2017-11-06,0.02966540679876526,0.020847061824142355
lag_3,2017-11-06,0.03392391576612548,0.04335314330520545
lag_4,2017-11-06,0.01918441234595667,0.049025987186614245
mean_last_4,2017-11-06,0.5549085454242533,0.1449396977098914
lag_1,2018-01-01,0.3200502989380189,0.12556530169363384
lag_2,2018-01-01,0.07950701610803712,0.025785311811785096
lag_3,2018-01-01,0.04084605923470837,0.011545978199921893
lag_4,2018-01-01,0.007629124286846256,0.019858538492635434
mean_last_4,2018-01-01,0.2926306027891634,0.08739792992331645
