customer_state,customers,selected,selection_rate,lower_95,upper_95,included_in_gap
SP,2380,94,0.03949579831932773,0.03238392706460703,0.04809188978496889,True
RJ,807,25,0.030978934324659233,0.021069991823423367,0.04533212666679716,True
MG,694,21,0.03025936599423631,0.01987517796959,0.04581537415570605,True
RS,361,11,0.030470914127423823,0.01709790701077937,0.053731735223000995,True
PR,323,11,0.034055727554179564,0.019120489612725673,0.05994410926330478,True
SC,252,7,0.027777777777777776,0.013519212808742374,0.056217686897951154,True
BA,203,7,0.034482758620689655,0.016801781553449614,0.06945552838807084,True
ES,147,5,0.034013605442176874,0.014614209257501933,0.07714827536212554,True
DF,143,5,0.03496503496503497,0.015025500353481137,0.0792366161039805,True
GO,117,3,0.02564102564102564,0.008757897045422923,0.07268425532594588,True
CE,92,2,0.021739130434782608,0.005981915837670909,0.0758364177460756,True
PE,91,2,0.02197802197802198,0.006047879307120856,0.07663313830540361,True
PA,54,0,0.0,6.938893903907228e-18,0.06641586678100189,True
MS,54,1,0.018518518518518517,0.0032764033153519848,0.09771665358487208,True
MA,48,1,0.020833333333333332,0.003687015979399688,0.10899469137531158,False
MT,47,3,0.06382978723404255,0.0219449870207728,0.17162877934377904,False
PB,37,0,0.0,0.0,0.09406095745514377,False
RN,35,0,0.0,0.0,0.09890426758938868,False
PI,26,2,0.07692307692307693,0.02135463918337556,0.24141947480515052,False
AL,25,0,0.0,0.0,0.13319649395317873,False
SE,18,0,0.0,0.0,0.1758845505823749,False
TO,12,0,0.0,0.0,0.2425007574992425,False
RO,12,0,0.0,0.0,0.2425007574992425,False
AM,10,0,0.0,0.0,0.2775401687666166,False
AC,5,0,0.0,0.0,0.43449149475208104,False
AP,5,0,0.0,0.0,0.43449149475208104,False
RR,2,0,0.0,0.0,0.6576280471103807,False
